A00;COLERA
M25;OTROS TRASTORNOS ARTICULARES, NO CLASIFICADOS EN OTRA PARTE
M30;POLIARTERITIS NUDOSA Y AFECCIONES RELACIONADAS
M31;OTRAS VASCULOPATIAS NECROTIZANTES
M32;LUPUS ERITEMATOSO SISTEMICO
M33;DERMATOPOLIMIOSITIS
M34;ESCLEROSIS SISTEMICA
M35;OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO
M40;CIFOSIS Y LORDOSIS
M41;ESCOLIOSIS
M42;OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL
M43;OTRAS DORSOPATIAS DEFORMANTES
M45;ESPONDILITIS ANQUILOSANTE
M46;OTRAS ESPONDILOPATIAS INFLAMATORIAS
M47;ESPONDILOSIS
M48;OTRAS ESPONDILOPATIAS
M50;TRASTORNOS DE DISCO CERVICAL
M51;OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES
M53;OTRAS DORSOPATIAS, NO CLASIFICADAS EN OTRA PARTE
M54;DORSALGIA
M60;MIOSITIS
M61;CALCIFICACION Y OSIFICACION DEL MUSCULO
M62;OTROS TRASTORNOS DE LOS MUSCULOS
M65;SINOVITIS Y TENOSINOVITIS
M66;RUPTURA ESPONTANEA DE LA SINOVIA Y DEL TENDON
M67;OTROS TRASTORNOS DE LA SINOVIA Y DEL TENDON
M70;TRASTORNOS DE LOS TEJIDOS BLANDOS RELACIONADOS CON EL USO, EL USO EXCESIVO Y LA PRESION
M71;OTRAS BURSOPATIAS
M72;TRASTORNOS FIBROBLASTICOS
M75;LESIONES DEL HOMBRO
M76;ENTESOPATIAS DEL MIEMBRO INFERIOR, EXCLUIDO EL PIE
M77;OTRAS ENTESOPATIAS
M79;OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS, NO CLASIFICADOS EN OTRA PARTE
M80;OSTEOPOROSIS CON FRACTURA PATOLOGICA
M81;OSTEOPOROSIS SIN FRACTURA PATOLOGICA
M83;OSTEOMALACIA DEL ADULTO
M84;TRASTORNOS DE LA CONTINUIDAD DEL HUESO
M85;OTROS TRASTORNOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS
M86;OSTEOMIELITIS
M87;OSTEONECROSIS
M88;ENFERMEDAD DE PAGET DE LOS HUESOS (OSTEITIS DEFROMANTE)
M89;OTROS TRASTORNOS DEL HUESO
M91;OSTEOCONDROSIS JUVENIL DE LA CADERA Y DE LA PELVIS
M92;OTRAS OSTEOCONDROSIS JUVENILES
M93;OTRAS OSTEOCONDROPATIAS
M94;OTROS TRASTORNOS DEL CARTILAGO
M95;OTRAS DEFORMIDADES ADQUIRIDAS DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
M96;TRASTORNOS OSTEOMUSCULARES CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
M99;LESIONES BIOMECANICAS, NO CLASIFICADAS EN OTRA PARTE
N00;SINDROME NEFRITICO AGUDO
N01;SINDROME NEFRITICO RAPIDAMENTE PROGRESIVO
N02;HEMATURIA RECURRENTE Y PERSISTENTE
N03;SINDROME NEFRITICO CRONICO
N04;SINDROME NEFROTICO
N05;SINDROME NEFRITICO NO ESPECIFICADO
N06;PROTEINURIA AISLADA CON LESION MORFOLOGICA ESPECIFICADA
N07;NEFROPATIA HEREDITARIA, NO CLASIFICADA EN OTRA PARTE
N10;NEFRITIS TUBULOINTERSTICIAL AGUDA
N11;NEFRITIS TUBULOINTERSTICIAL CRONICA
N12;NEFRITIS TUBULOINTERSTICIAL, NO ESPECIFICADA COMO AGUDA O CRONICA
N13;UROPATIA OBSTRUCTIVA Y POR REFLUJO
N14;AFECCIONES TUBULARES Y TUBULOINTERSTICIALES INDUCIDAS POR DROGAS Y POR METALES PESADOS
N15;OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES
N17;INSUFICIENCIA RENAL AGUDA
N18;INSUFICIENCIA RENAL CRONICA
N19;INSUFICIENCIA RENAL NO ESPECIFICADA
N20;CALCULO DEL RI¾ON Y DEL URETER
N21;CALCULO DE LAS VIAS URINARIAS INFERIORES
N23;COLICO RENAL, NO ESPECIFICADO
N25;TRASTORNOS RESULTANTES DE LA FUNCION TUBULAR RENAL ALTERADA
N26;RI¾ON CONTRAIDO, NO ESPECIFICADO
N27;RI¾ON PEQUE¾O DE CAUSA DESCONOCIDA
N28;OTROS TRASTORNOS DEL RI¾ON Y DEL URETER, NO CLASIFICADOS EN OTRA PARTE
N30;CISTITIS
N31;DISFUNCION NEUROMUSCULAR DE LA VEJIGA, NO CLASIFICADA EN OTRA PARTE
N32;OTROS TRASTORNOS DE LA VEJIGA
N34;URETRITIS Y SINDROME URETRAL
N35;ESTRECHEZ URETRAL
N36;OTROS TRASTORNOS DE LA URETRA
N39;OTROS TRASTORNOS DEL SISTEMA URINARIO
N40;HIPERPLASIA DE LA PROSTATA
N41;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA
N42;OTROS TRASTORNOS DE LA PROSTATA
N43;HIDROCELE Y ESPERMATOCELE
N44;TORSION DEL TESTICULO
N45;ORQUITIS Y EPIDIDIMITIS
N46;ESTERILIDAD EN EL VARON
N47;PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS
N48;OTROS TRASTORNOS DEL PENE
N49;TRASTORNOS INFLAMATORIOS DE ORGANOS GENITALES MASCULINOS, NO CLASIFICADOS EN OTRA PARTE
N50;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS
N60;DISPLASIA MAMARIA BENIGNA
N61;TRASTORNOS INFLAMATORIOS DE LA MAMA
N62;HIPERTROFIA DE LA MAMA
N63;MASA NO ESPECIFICADA DE LA MAMA
N64;OTROS TRASTORNOS DE LA MAMA
N70;SALPINGITIS Y OOFORITIS
N71;ENFERMEDAD INFLAMATORIA DEL UTERO, EXCEPTO DEL CUELLO UTERINO
N72;ENFERMEDAD INFLAMATORIA DEL CUELLO UTERINO
N73;OTRAS ENFERMEDADES PELVICAS INFLAMATORIAS FEMENINAS
N75;ENFERMEDADES DE LA GLANDULA DE BARTHOLIN
N76;OTRAS AFECCIONES INFLAMATORIAS DE LA VAGINA Y DE LA VULVA
N80;ENDOMETRIOSIS
N81;PROLAPSO GENITAL FEMENINO
N82;FISTULAS QUE AFECTAN EL TRACTO GENITAL FEMENINO
N83;TRASTORNOS NO INFLAMATORIOS DEL OVARIO, DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO ANCHO
N84;POLIPO DEL TRACTO GENITAL FEMENINO
N85;OTROS TRASTORNOS NO INFLAMATORIOS DEL UTERO, EXCEPTO DEL CUELLO
N86;EROSION Y ECTROPION DEL CUELLO UTERINO
N87;DISPLASIA DEL CUELLO UTERINO
N88;OTROS TRASTORNOS NO INFLAMATORIOS DEL CUELLO DEL UTERO
N89;OTROS TRASTORNOS NO INFLAMATORIOS DE LA VAGINA
N90;OTROS TRASTORNOS NO INFLAMATORIOS DE LA VULVA Y DEL PERINEO
N91;MENSTRUACION AUSENTE, ESCASA O RARA
N92;MENSTRUACION EXCESIVA, FRECUENTE E IRREGULAR
N93;OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES
N94;DOLOR Y OTRAS AFECCIONES RELACIONADAS CON LOS ORGANOS GENITALES FEMENINOS Y CON EL CICLO MENSTRUAL
N95;OTROS TRASTORNOS MENOPAUSICOS Y PERIMENOPAUSICOS
N96;ABORTADORA HABITUAL
N97;INFERTILIDAD FEMENINA
N98;COMPLICACIONES ASOCIADAS CON LA FECUNDACION ARTIFICIAL
N99;TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
O00;EMBARAZO ECTOPICO
O01;MOLA HIDATIDIFORME
O02;OTROS PRODUCTOS ANORMALES DE LA CONCEPCION
O03;ABORTO ESPONTANEO
O04;ABORTO MEDICO
O05;OTRO ABORTO
O06;ABORTO NO ESPECIFICADO
O07;INTENTO FALLIDO DE ABORTO
O08;COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR
O10;HIPERTENSION PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO
O11;TRASTORNOS HIPERTENSIVOS PREEXISTENTES, CON PROTEINURIA AGREGADA
O12;EDEMA Y PROTEINURIA GESTACIONALES (INDUCIDOS POR EL EMBARAZO) SIN HIPERTENSION
O13;HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) SIN PROTEINURIA SIGNIFICATIVA
O14;HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) CON PROTEINURIA SIGNIFICATIVA
O15;ECLAMPSIA
O16;HIPERTENSION MATERNA, NO ESPECIFICADA
O20;HEMORRAGIA PRECOZ DEL EMBARAZO
O21;VOMITOS EXCESIVOS EN EL EMBARAZO
O22;COMPLICACIONES VENOSAS EN EL EMBARAZO
O23;INFECCION DE LAS VIAS GENITOURINARIAS EN EL EMBARAZO
O24;DIABETES MELLITUS EN EL EMBARAZO
O25;DESNUTRICION EN EL EMBARAZO
O26;ATENCION A LA MADRE POR OTRAS COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO
O28;HALLAZGOS ANORMALES EN EL EXAMEN PRENATAL DE LA MADRE
O29;COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL EMBARAZO
O30;EMBARAZO MULTIPLE
O31;COMPLICACIONES ESPECIFICAS DEL EMBARAZO MULTIPLE
O32;ATENCION MATERNA POR PRESENTACION ANORMAL DEL FETO, CONOCIDA O PRESUNTA
O33;ATENCION MATERNA POR DESPROPORCION CONOCIDA O PRESUNTA
O34;ATENCION MATERNA POR ANORMALIDADES CONOCIDAS O PRESUNTAS DE LOS ORGANOS PELVIANOS DE LA MADRE
O35;ATENCION MATERNA POR ANORMALIDAD O LESION FETAL, CONOCIDA O PRESUNTA
O36;ATENCION MATERNA POR OTROS PROBLEMAS FETALES CONOCIDOS O PRESUNTOS
O40;POLIHIDRAMNIOS
O41;OTROS TRASTORNOS DEL LIQUIDO AMNIOTICO Y DE LAS MEMBRANAS
O42;RUPTURA PREMATURA DE LAS MEMBRANAS
O43;TRASTORNOS PLACENTARIOS
O44;PLACENTA PREVIA
O45;DESPRENDIMIENTO PREMATURO DE LA PLACENTA (ABRUPTIO PLACENTAE)
O46;HEMORRAGIA ANTEPARTO, NO CLASIFICADA EN OTRA PARTE
O47;FALSO TRABAJO DE PARTO
O48;EMBARAZO PROLONGADO
O60;PARTO PREMATURO
O61;FRACASO DE LA INDUCCION DEL TRABAJO DE PARTO
O62;ANORMALIDADES DE LA DINAMICA DEL TRABAJO DE PARTO
O63;TRABAJO DE PARTO PROLONGADO
O64;TRABAJO DE PARTO OBSTRUIDO DEBIDO A MALA POSICION Y PRESENTACION ANORMAL DEL FETO
O65;TRABAJO DE PARTO OBSTRUIDO DEBIDO A ANORMALIDAD DE LA PELVIS MATERNA
O66;OTRAS OBSTRUCCIONES DEL TRABAJO DE PARTO
O67;TRABAJO DE PARTO Y PARTO COMPLICADOS POR HEMORRAGIA INTRAPARTO, NO CLASIFICADOS EN OTRA PARTE
O68;TRABAJO DE PARTO Y PARTO COMPLICADOS POR SUFRIMIENTO FETAL
O69;TRABAJO DE PARTO Y PARTO COMPLICADOS POR PROBLEMAS DEL CORDON UMBILICAL
O70;DESGARRO PERINEAL DURANTE EL PARTO
O71;OTRO TRAUMA OBSTETRICO
O72;HEMORRAGIA POSTPARTO
O73;RETENCION DE LA PLACENTA O DE LAS MEMBRANAS, SIN HEMORRAGIA
O74;COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL TRABAJO DE PARTO Y EL PARTO
O75;OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO, NO CLASIFICADAS EN OTRA PARTE
O80;PARTO UNICO ESPONTANEO
O81;PARTO UNICO CON FORCEPS Y VENTOSA EXTRACTORA
O82;PARTO UNICO POR CESAREA
O83;OTROS PARTOS UNICOS ASISTIDOS
O84;PARTO MULTIPLE
O85;SEPSIS PUERPERAL
O86;OTRAS INFECCIONES PUERPERALES
O87;COMPLICACIONES VENOSAS EN EL PUERPERIO
O88;EMBOLIA OBSTETRICA
O89;COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL PUERPERIO
O90;COMPLICACIONES DEL PUERPERIO, NO CLASIFICADAS EN OTRA PARTE
O91;INFECCIONES DE LA MAMA ASOCIADAS CON EL PARTO
O92;OTROS TRASTORNOS DE LA MAMA Y DE LA LACTANCIA ASOCIADOS CON EL PARTO
O94;SECUELAS DE COMLICACIONES DEL EMBARAZO, DEL PARTO Y DEL PURPERIO
O95;MUERTE OBSTETRICA DE CAUSA NO ESPECIFICADA
O96;MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTETRICA QUE OCURRE DESPUES DE 42 DIAS PERO ANTES DE UN A¾O DEL PARTO
O97;MUERTE POR SECUELAS DE CAUSAS OBSTETRICAS DIRECTAS
O98;ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO
O99;OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO
P00;FETO Y RECIEN NACIDO AFECTADOS POR CONDICIONES DE LA MADRE NO NECESARIAMENTE RELACIONADAS CON EL EMBARAZO PRESENTE
P01;FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES MATERNAS DEL EMBARAZO
P02;FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES DE LA PLACENTA, DEL CORDON UMBILICAL Y DE LAS MEMBRANAS
P03;FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO
P04;FETO Y RECIEN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS TRANSMITIDAS A TRAVES DE LA PLACENTA O DE LA LECHE MATERNA
P05;RETARDO DEL CRECIMIENTO FETAL Y DESNUTRICION FETAL
P07;TRASTORNOS (FETALES) RELACIONADOS CON DURACION CORTA DE LA GESTACION Y CON BAJO PESO AL NACER, NO CLASIFICADOS EN OTRA PARTE
P08;TRASTORNOS (FETALES) RELACIONADOS CON EL EMBARAZO PROLONGADO Y CON SOBREPESO AL NACER
P10;HEMORRAGIA Y LACERACION INTRACRANEAL DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P11;OTROS TRAUMATISMOS DEL SISTEMA NERVIOSO CENTRAL EN EL NACIMIENTO
P12;TRAUMATISMO DEL CUERO CABELLUDO EN EL NACIMIENTO
P13;TRAUMATISMO DEL ESQUELETO DURANTE EL NACIMIENTO
P14;TRAUMATISMO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P15;OTROS TRAUMATISMOS DEL NACIMIENTO
P20;HIPOXIA INTRAUTERINA
P21;ASFIXIA DEL NACIMIENTO
P22;DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P23;NEUMONIA CONGENITA
P24;SINDROMES DE ASPIRACION NEONATAL
P25;ENFISEMA INTERSTICIAL Y AFECCIONES RELACIONADAS, ORIGINADAS EN EL PERIODO PERINATAL
P26;HEMORRAGIA PULMONAR ORIGINADA EN EL PERIODO PERINATAL
P27;ENFERMEDAD RESPIRATORIA CRONICA ORIGINADA EN EL PERIODO PERINATAL
P28;OTROS PROBLEMAS RESPIRATORIOS DEL RECIEN NACIDO, ORIGINADOS EN EL PERIODO PERINATAL
P29;TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P35;ENFERMEDADES VIRALES CONGENITAS
P36;SEPSIS BACTERIANA DEL RECIEN NACIDO
P37;OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CONGENITAS
P38;ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P39;OTRAS INFECCIONES ESPECIFICAS DEL PERIODO PERINATAL
P50;PERDIDA DE SANGRE FETAL
P51;HEMORRAGIA UMBILICAL DEL RECIEN NACIDO
P52;HEMORRAGIA INTRACRANEAL NO TRAUMATICA DEL FETO Y DEL RECIEN NACIDO
P53;ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P54;OTRAS HEMORRAGIAS NEONATALES
P55;ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO
P56;HIDROPESIA FETAL DEBIDA A ENFERMEDAD HEMOLITICA
P57;KERNICTERUS
P58;ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS
P59;ICTERICIA NEONATAL POR OTRAS CAUSAS Y POR LAS NO ESPECIFICADAS
P60;COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EN EL RECIEN NACIDO
P61;OTROS TRASTORNOS HEMATOLOGICOS PERINATALES
P70;TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS ESPECIFICOS DEL FETO Y DEL RECIEN NACIDO
P71;TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P72;OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS
P74;OTRAS ALTERACIONES METABOLICAS Y ELECTROLITICAS NEONATALES TRANSITORIAS
P76;OTRAS OBSTRUCCIONES INTESTINALES DEL RECIEN NACIDO
P77;ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P78;OTROS TRASTORNOS PERINATALES DEL SISTEMA DIGESTIVO
P80;HIPOTERMIA DEL RECIEN NACIDO
P81;OTRAS ALTERACIONES DE LA REGULACION DE LA TEMPERATURA EN EL RECIEN NACIDO
P83;OTRAS AFECCIONES DE LA PIEL ESPECIFICAS DEL FETO Y DEL RECIEN NACIDO
P90;CONVULSIONES DEL RECIEN NACIDO
P91;OTRAS ALTERACIONES CEREBRALES DEL RECIEN NACIDO
P92;PROBLEMAS DE LA INGESTION DE ALIMENTOS EN EL (DEL) RECIEN NACIDO
P93;REACCIONES E INTOXICACIONES DEBIDAS A DROGAS ADMINISTRADAS AL FETO Y AL RECIEN NACIDO
P94;TRASTORNOS DEL TONO MUSCULAR EN EL RECIEN NACIDO
P95;MUERTE FETAL DE CAUSA NO ESPECIFICADA
P96;OTRAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
Q00;ANENCEFALIA Y MALFORMACIONES CONGENITAS SIMILARES
Q01;ENCEFALOCELE
Q02;MICROCEFALIA
Q03;HIDROCEFALO CONGENITO
Q04;OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO
Q05;ESPINA BIFIDA
Q06;OTRAS MALFORMACIONES CONGENITAS DE LA MEDULA ESPINAL
Q07;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO
Q10;MALFORMACIONES CONGENITAS DE LOS PARPADOS, DEL APARATO LAGRIMAL Y DE LA ORBITA
Q11;ANOFTALMIA, MICROFTALMIA Y MACROFTALMIA
Q12;MALFORMACIONES CONGENITAS DEL CRISTALINO
Q13;MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO
Q14;MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO
Q15;OTRAS MALFORMACIONES CONGENITAS DEL OJO
Q16;MALFORMACIONES CONGENITAS DEL OIDO QUE CAUSAN ALTERACION DE LA AUDICION
Q17;OTRAS MALFORMACIONES CONGENITAS DEL OIDO
Q18;OTRAS MALFORMACIONES CONGENITAS DE LA CARA Y DEL CUELLO
Q20;MALFORMACIONES CONGENITAS DE LAS CAMARAS CARDIACAS Y DE SUS CONEXIONES
Q21;MALFORMACIONES CONGENITAS DE LOS TABIQUES CARDIACOS
Q22;MALFORMACIONES CONGENITAS DE LAS VALVULAS PULMONAR Y TRICUSPIDE
Q23;MALFORMACIONES CONGENITAS DE LAS VALVULAS AORTICA Y MITRAL
Q24;OTRAS MALFORMACIONES CONGENITAS DEL CORAZON
Q25;MALFORMACIONES CONGENITAS DE LAS GRANDES ARTERIAS
Q26;MALFORMACIONES CONGENITAS DE LAS GRANDES VENAS
Q27;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
Q28;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA CIRCULATORIO
Q30;MALFORMACIONES CONGENITAS DE LA NARIZ
Q31;MALFORMACIONES CONGENITAS DE LA LARINGE
Q32;MALFORMACIONES CONGENITAS DE LA TRAQUEA Y DE LOS BRONQUIOS
Q33;MALFORMACIONES CONGENITAS DEL PULMON
Q34;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA RESPIRATORIO
Q35;FISURA DEL PALADAR
Q36;LABIO LEPORINO
Q37;FISURA DEL PALADAR CON LABIO LEPORINO
Q38;OTRAS MALFORMACIONES CONGENITAS DE LA LENGUA, DE LA BOCA Y DE LA FARINGE
Q39;MALFORMACIONES CONGENITAS DEL ESOFAGO
Q40;OTRAS MALFORMACIONES CONGENITAS DE LA PARTE SUPERIOR DEL TUBO DIGESTIVO
Q41;AUSENCIA, ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO DELGADO
Q42;AUSENCIA, ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO
Q43;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO
Q44;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR, DE LOS CONDUCTOS BILIARES Y DEL HIGADO
Q45;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO
Q50;MALFORMACIONES CONGENITAS DE LOS OVARIOS, DE LAS TROMPAS DE FALOPIO Y DE LOS LIGAMENTOS ANCHOS
Q51;MALFORMACIONES CONGENITAS DEL UTERO Y DEL CUELLO UTERINO
Q52;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES FEMENINOS
Q53;TESTICULO NO DESCENDIDO
Q54;HIPOSPADIAS
Q55;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS
Q56;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO
Q60;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RI¾ON
Q61;ENFERMEDAD QUISTICA DEL RI¾ON
Q62;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER
Q63;OTRAS MALFORMACIONES CONGENITAS DEL RI¾ON
Q64;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO
Q65;DEFORMIDADES CONGENITAS DE LA CADERA
Q66;DEFORMIDADES CONGENITAS DE LOS PIES
Q67;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA, DE LA CARA, DE LA COLUMNA VERTEBRAL Y DEL TORAX
Q68;OTRAS DEFORMIDADES OSTEOMUSCULARES CONGENITAS
Q69;POLIDACTILIA
Q70;SINDACTILIA
Q71;DEFECTOS POR REDUCCION DEL MIEMBRO SUPERIOR
Q72;DEFECTOS POR REDUCCION DEL MIEMBRO INFERIOR
Q73;DEFECTOS POR REDUCCION DE MIEMBRO NO ESPECIFICADO
Q74;OTRAS ANOMALIAS CONGENITAS DEL (DE LOS) MIEMBRO(S)
Q75;OTRAS MALFORMACIONES CONGENITAS DE LOS HUESOS DEL CRANEO Y DE LA CARA
Q76;MALFORMACIONES CONGENITAS DE LA COLUMNA VERTEBRAL Y DEL TORAX OSEO
Q77;OSTEOCONDRODISPLASIA CON DEFECTO DEL CRECIMIENTO DE LOS HUESOS LARGOS Y DE LA COLUMNA VERTEBRAL
Q78;OTRAS OSTEOCONDRODISPLASIAS
Q79;MALFORMACIONES CONGENITAS DEL SISTEMA OSTEOMUSCULAR, NO CLASIFICADAS EN OTRA PARTE
Q80;ICTIOSIS CONGENITA
Q81;EPIDERMOLISIS BULLOSA
Q82;OTRAS MALFORMACIONES CONGENITAS DE LA PIEL
Q83;MALFORMACIONES CONGENITAS DE LA MAMA
Q84;OTRAS MALFORMACIONES CONGENITAS DE LAS FANERAS (FANERIOS)
Q85;FACOMATOSIS, NO CLASIFICADA EN OTRA PARTE
Q86;SINDROMES DE MALFORMACIONES CONGENITAS DEBIDOS A CAUSAS EXOGENAS CONOCIDAS, NO CLASIFICADOS EN OTRA PARTE
Q87;OTROS SINDROMES DE MALFORMACIONES CONGENITAS ESPECIFICADOS QUE AFECTAN MULTIPLES SISTEMAS
Q89;OTRAS MALFORMACIONES CONGENITAS, NO CLASIFICADAS EN OTRA PARTE
Q90;SINDROME DE DOWN
Q91;SINDROME DE EDWARDS Y SINDROME DE PATAU
Q92;OTRAS TRISOMIAS Y TRISOMIAS PARCIALES DE LOS AUTOSOMAS, NO CLASIFICADAS EN OTRA PARTE
Q93;MONOSOMIAS Y SUPRESIONES DE LOS AUTOSOMAS, NO CLASIFICADAS EN OTRA PARTE
Q95;REORDENAMIENTOS EQUILIBRADOS Y MARCADORES ESTRUCTURALES, NO CLASIFICADOS EN OTRA PARTE
Q96;SINDROME DE TURNER
Q97;OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES, CON FENOTIPO FEMENINO, NO CLASIFICADAS EN OTRA PARTE
Q98;OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES, CON FENOTIPO MASCULINO, NO CLASIFICADAS EN OTRA PARTE
Q99;OTRAS ANOMALIAS CROMOSOMICAS, NO CLASIFICADAS EN OTRA PARTE
R00;ANORMALIDADES DEL LATIDO CARDIACO
R01;SOPLOS Y OTROS SONIDOS CARDIACOS
R02;GANGRENA, NO CLASIFICADA EN OTRA PARTE
R03;LECTURA DE PRESION SANGUINEA ANORMAL, SIN DIAGNOSTICO
R04;HEMORRAGIAS DE LAS VIAS RESPIRATORIAS
R05;TOS
R06;ANORMALIDADES DE LA RESPIRACION
R07;DOLOR DE GARGANTA Y EN EL PECHO
R09;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R10;DOLOR ABDOMINAL Y PELVICO
R11;NAUSEA Y VOMITO
R12;ACIDEZ
R13;DISFAGIA
R14;FLATULENCIA Y AFECCIONES AFINES
R15;INCONTINENCIA FECAL
R16;HEPATOMEGALIA Y ESPLENOMEGALIA, NO CLASIFICADAS EN OTRA PARTE
R17;ICTERICIA NO ESPECIFICADA
R18;ASCITIS
R19;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R20;ALTERACIONES DE LA SENSIBILIDAD CUTANEA
R21;SALPULLIDO Y OTRAS ERUPCIONES CUTANEAS NO ESPECIFICADAS
R22;TUMEFACCION, MASA O PROMINENCIA DE LA PIEL Y DEL TEJIDO SUBCUTANEO LOCALIZADAS
R23;OTROS CAMBIOS EN LA PIEL
R25;MOVIMIENTOS INVOLUNTARIOS ANORMALES
R26;ANORMALIDADES DE LA MARCHA Y DE LA MOVILIDAD
R27;OTRAS FALLAS DE COORDINACION
R29;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R30;DOLOR ASOCIADO CON LA MICCION
R31;HEMATURIA, NO ESPECIFICADA
R32;INCONTINENCIA URINARIA, NO ESPECIFICADA
R33;RETENCION DE ORINA
R34;ANURIA Y OLIGURIA
R35;POLIURIA
R36;DESCARGA URETRAL
R39;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
